1	200	
2	200	
3	200	
4	200	
5	200	
6	200	
7	200	
8	200	
9	200	
10	200	
11	200	
12	200	
13	200	
14	200	
15	200	
16	200	
17	200	
18	200	
19	200	
20	200	
21	200	
22	200	
23	200	
24	200	
25	200	
26	200	
27	200	
28	200	
29	200	
30	200	
31	429	3
32	429	3
33	429	3
34	429	3
35	429	2
36	429	2
37	429	2
38	429	2
39	429	2
40	429	2
41	429	2
42	429	2
43	429	2
44	429	2
45	429	2
46	429	2
47	429	2
48	429	2
49	429	2
50	429	2
51	429	2
52	429	1
53	429	1
54	429	1
55	429	1
56	429	1
57	429	1
58	429	1
59	429	1
60	429	1
61	429	1
62	429	1
63	429	1
64	429	1
65	429	1
66	429	1
67	429	1
68	429	0
69	429	0
70	429	0
71	429	0
72	429	0
73	429	0
74	429	0
75	429	0
76	429	0
77	429	0
78	429	0
79	429	0
80	429	0
81	429	0
82	429	0
83	429	0
84	429	0
85	200	
86	429	4
87	429	4
88	429	4
89	429	4
90	429	4
